x,y,value
0,0,18
0,2,77
0,3,83
0,4,166
0,4,166
0,5,6
0,5,6
0,6,418
0,6,418
0,7,544
0,7,544
0,8,800
0,8,800
0,9,1280
0,9,1280
0,11,138
0,12,1470
0,12,1470
1,1,1
1,2,242
1,3,209
1,4,284
1,6,926
1,6,926
1,7,81
1,8,78
1,8,78
1,9,148
1,9,148
1,11,8
1,11,8
2,0,74
2,1,519
2,2,213
2,4,751
2,5,86
2,6,1003
2,7,212
2,9,1069
2,10,272
2,10,272
3,0,225
3,1,874
3,2,1
3,3,16
3,4,174
3,5,161
3,6,242
3,9,216
3,9,216
4,0,423
4,1,552
4,2,304
4,3,55
4,4,24
4,5,4
4,5,4
4,6,14
4,6,14
5,0,43
5,1,2428
5,2,966
5,3,171
5,4,693
5,5,190
5,5,190
6,0,740
6,1,323
6,2,124
6,3,24
6,4,558
6,5,58
6,5,58
7,0,130
7,1,3
7,2,327
7,3,1
7,4,31
7,5,9
7,5,9
7,5,9
8,0,755
8,1,34
8,2,202
8,3,412
8,4,565
8,5,118
8,5,118
9,0,16
9,1,14
9,2,8
9,3,38
9,4,440
9,4,440
10,0,322
10,1,374
10,2,17
10,4,4
10,4,4
11,0,282
11,1,396
11,2,187
11,3,184
11,4,96
11,4,96
12,0,690
12,1,143
12,2,84
12,3,38
12,4,294
12,4,294
13,0,192
13,1,132
13,2,69
13,3,1
13,4,160
13,5,611
13,6,304
13,6,304
14,0,91
14,1,621
14,2,111
14,3,80
14,4,665
14,5,433
14,6,86
14,6,86
15,0,24
15,1,290
15,2,204
15,3,290
15,4,665
15,5,750
15,6,672
15,6,672
16,0,88
16,1,99
16,2,558
16,3,361
16,4,88
16,5,472
16,6,18
16,6,18
16,6,18
17,0,253
17,1,36
17,2,532
17,3,2207
17,4,1057
17,5,378
17,5,378
17,6,2
17,6,2
17,7,1
18,0,261
18,2,111
18,3,1791
18,4,1979
18,5,82
18,5,82
19,0,474
19,1,108
19,2,29
19,3,341
19,4,260
19,5,1104
20,0,154
20,1,24
20,2,299
20,3,272
20,4,163
20,5,617
21,0,96
21,1,11
21,2,138
21,3,803
21,4,39
21,5,512
21,5,512
22,0,9
22,1,948
22,2,352
22,3,32
22,4,2
22,5,186
22,6,164
22,6,164
22,7,2
22,7,2
23,1,730
23,2,660
23,3,372
23,4,16
23,5,653
23,6,235
23,7,8
23,7,8
24,1,3
24,2,4
24,3,935
24,4,8
24,5,26
24,6,836
24,7,708
24,7,708
24,8,20
24,8,20
25,0,297
25,1,184
25,2,311
25,5,4
25,6,877
25,7,727
26,0,5
26,1,853
26,2,361
26,3,1
26,4,25
26,5,106
26,6,44
26,7,205
27,0,48
27,1,83
27,2,24
27,3,381
27,4,529
27,5,458
27,6,253
27,7,397
27,8,2
27,8,2
28,0,96
28,1,28
28,2,171
28,3,705
28,4,217
28,5,528
28,7,16
28,7,16
29,0,4
29,0,4
29,1,2
29,1,2
29,2,20
29,2,20
29,3,312
29,3,312
29,4,558
29,4,558
30,0,1020
30,0,1020
30,1,178
30,1,178
30,2,310
30,2,310
30,3,516
30,3,516
30,4,166
30,4,166
31,0,411
31,1,382
31,2,138
